p,t
nthif,PIECE ~s ~him
fkroif,and~ LEG ~s ~him
lnthif,to~ PIECE ~s ~him
tnth,you(ms)~ will~ much~ DIVIDE.INTO.PIECES(Verb)
nihfh,SWEET
eimnit,the~ RIGHT
rglm,FOOT ~them(m)
azn,EAR
tnfk,TIP
mdmf,from~ BLOOD ~him
fbgdi,and~ GARMENT ~s
fbgdif,and~ GARMENT ~s ~him
fqdc,and~ he~ did~ SET.APART(Verb)
fezit,and~ you(ms)~ did~ make~ SPATTER(Verb)
fmcmn,and~ from~ OIL
cfq,THIGH
itrt,LOBE
fealie,and~ the~ RUMP
mxl,from~ WICKER.BASKET
frqiq,and~ THIN.BREAD
fkkr,and~ ROUNDNESS
tnfpe,WAVING
fenpt,and~ you(ms)~ did~ make~ WAVE(Verb)
ekl,the~ ALL
lrih,to~ AROMA
lmne,to~ SHARE
emlaim,the~ INSTALLATION ~s
mail,from~ BUCK
ehze,the~ CHEST
efrm,he~ did~ be~ make~ RAISE.UP(Verb)
efnp,he~ did~ be~ make~ WAVE(Verb)
etnfpe,the~ WAVING
hze,CHEST
trfmtm,OFFERING ~them(m)
clmiem,OFFERING.OF.RESTITUTION ~s ~them(m)
ftrfme,and~ OFFERING
flmla,and~ to~ >~ much~ FILL(Verb)
lmche,to~ >~ SMEAR(Verb)
mbnif,496 from~ SON ~s ~him
eken,the~ ADMINISTRATOR
ilbcm,he~ will~ WEAR(Verb) ~them(m)
bmqm,in~ AREA
fbclt,and~ you(ms)~ did~ much~ BOIL(Verb)
fzr,and~ BE.STRANGE(Verb) ~ing(ms)
lmla,to~ >~ much~ FILL(Verb)
enftr,the~ be~ LEAVE.BEHIND(Verb) ~ing(ms)
fcrpt,and~ you(ms)~ did~ CREMATE(Verb)
mbcr,from~ FLESH
tmla,you(ms)~ will~ much~ FILL(Verb)
atke,AT ~you(mp)
sfiti,I~ did~ much~ DIRECT(Verb)
kke,like~ IN.THIS.WAY
bkprk,in~ >~ much~ COVER(Verb) ~you(ms)
ekprim,the~ ATONEMENT ~s
fpr,and~ BULL
iqdc,he~ will~ SET.APART(Verb)
qdcim,SPECIAL ~s
tkpr,you(ms)~ will~ much~ COVER(Verb)
kbcim,SHEEP ~s
ekbc,the~ SHEEP
lkbc,to~ the~ SHEEP
eein,the~ HIYN
rbiot,FOURTH
fnxk,and~ POURING
rbo,QUARTER
blfl,MIX(Verb) ~ed(ms)
focrn,and~ ONE.TENTH
nihh,SWEET
fknxke,and~ like~ POURING ~her
kmnht,502 like~ DEPOSIT
afod,I~ will~ be~ APPOINT(Verb)
bkbdi,in~ ARMAMENT ~me
fnqdc,and~ he~ did~ be~ SET.APART(Verb)
fnodti,and~ I~ did~ be~ APPOINT(Verb)
aqdc,I~ will~ much~ SET.APART(Verb)
fqdcti,and~ I~ did~ much~ SET.APART(Verb)
lckni,to~ >~ DWELL(Verb) ~me
qjrt,INCENSE.SMOKE
mqjr,PLACE.TO.BURN
famtim,and~ FOREARM ~s2
qirtif,WALL ~s ~him
ggf,ROOF ~him
sdif,SIDE ~s ~him
slotif,RIB ~s ~him
lzrf,to~ MOLDING ~him
arn,BOX
iqjirne,505 he~ will~ make~ BURN.INCENSE(Verb) ~her
enrt,the~ LAMP ~s
beijibf,504 in~ >~ make~ DO.WELL(Verb) ~him
xmim,AROMATIC.SPICE ~s
feqjir,and~ he~ did~ make~ BURN.INCENSE(Verb)
fbeolt,and~ in~ >~ make~ GO.UP(Verb)
txkf,you(mp)~ will~ POUR(Verb)
fmnhe,and~ DEPOSIT
zre,BE.STRANGE(Verb) ~ing(fs)
tolf,you(mp)~ will~ make~ GO.UP(Verb)
ikpr,he~ will~ much~ COVER(Verb)
fkpr,and~ he~ did~ much~ COVER(Verb)
bpqd,510 in~ >~ REGISTER(Verb)
lpqdiem,to~ REGISTER(Verb) ~ed(mp) ~them(m)
ecql,the~ SHEQEL
mhsit,ONE.HALF
gre,GERAH
bcql,in~ SHEQEL
epqdim,the~ REGISTER(Verb) ~ed(mp)
eobr,the~ CROSS.OVER(Verb) ~ing(ms)
trfmt,OFFERING
fmole,and~ UPWARD ~unto
mbn,from~ SON
lkpr,to~ >~ much~ COVER(Verb)
mmhsit,from~ ONE.HALF
imoij,he~ will~ make~ BE.LESS(Verb)
fedl,and~ the~ HELPLESS
eocir,the~ RICH
obdt,SERVICE
lrhse,to~ >~ BATHE(Verb)
fknf,and~ BASE ~him
kifr,CAULDRON
leqjir,to~ >~ make~ BURN.INCENSE(Verb)
imtf,they(m)~ will~ DIE(Verb)
irhsf,they(m)~ will~ BATHE(Verb)
frgliem,and~ FOOT ~s2 ~them(m)
mhsitf,ONE.HALF ~him
fqnmn,and~ CINNAMON
drfr,FREE.FLOWING
mr,512 MYRRH
ein,HIYN
fcmn,and~ OIL
fqde,and~ CASSIA
rqh,COMPOUND(Verb) ~ing(ms)
mrqht,OINTMENT.MIXTURE
eqjrt,the~ INCENSE.SMOKE
klie,UTENSIL ~s ~her
knf,BASE ~him
ekir,the~ CAULDRON
tmch,you(ms)~ will~ SMEAR(Verb)
fbmtkntf,and~ in~ SUM
iixk,he~ will~ POUR.DOWN(Verb)
momif,from~ PEOPLE ~s ~him
fnkrt,and~ he~ did~ be~ CUT(Verb)
irqh,he~ will~ COMPOUND(Verb)
bbd,in~ STRAND
zke,REFINED
flbne,and~ FRANKINCENSE
fhlbne,and~ GALBANUM
fchlt,and~ ONYCHA
njp,NATAPH
mmlh,517 be~ much~ SEASON(Verb) ~ing(ms)
rfqh,COMPOUND(Verb) ~ing(ms)
edq,>~ make~ BEAT.SMALL(Verb)
fchqt,and~ you(ms)~ did~ PULVERIZE(Verb)
bmtknte,in~ SUM ~her
lerih,to~ >~ make~ SMELL(Verb)
kmfe,like~ THAT.ONE ~her
hfr,Hhur
afri,Uriy
bslal,Betsaleyl
qrati,I~ did~ CALL.OUT(Verb)
fbdot,and~ in~ DISCERNMENT
fbtbfne,and~ in~ INTELLIGENCE
bhkme,in~ SKILL
famla,and~ I~ will~ much~ FILL(Verb)
fbnhct,and~ in~ the~ COPPER
fbkxp,and~ in~ the~ SILVER
bzeb,in~ the~ GOLD
fbhrct,and~ in~ the~ ENGRAVING
lmlat,to~ >~ much~ FILL(Verb)
hkm,SKILLED.ONE
fblb,and~ in~ HEART
ahixmk,Ahhiysamahh
aeliab,Ahaliyav
lodt,to~ the~ EVIDENCE
ekifr,the~ CAULDRON
ecrd,the~ BRAIDED.WORK
mqdckm,much~ SET.APART(Verb) ~ing(ms) ~you(ms)
cbtti,CEASING ~s ~me
omie,PEOPLE ~s ~her
mqrb,from~ INSIDE
eoce,the~ DO(Verb) ~ing(ms)
mhllie,much~ DRILL(Verb) ~ing(mp) ~her
basbo,in~ FINGER
ktbim,WRITE(Verb) ~ed(mp)
kkltf,like~ >~ much~ FINISH(Verb) ~him
eolnf,he~ did~ make~ GO.UP(Verb) ~us
lpninf,to~ FACE ~s ~us
fiqel,and~ he~ will~ be~ ASSEMBLE(Verb)
bcc,he~ did~ much~ BE.ASHAMED(Verb)
fbntikm,and~ DAUGHTER ~s ~you(mp)
nzmi,ORNAMENTAL.RING ~s
prqf,!(mp)~ much~ TEAR.OFF(Verb)
fitprqf,and~ they(m)~ will~ self~ TEAR.OFF(Verb)
eolfk,they~ did~ make~ GO.UP(Verb) ~you(ms)
mxke,CAST.IMAGE
ogl,BULLOCK
fiocef,and~ he~ will~ DO(Verb) ~him
bhrj,in~ the~ ENGRAVING.TOOL
fctf,and~ >~ GULP(Verb)
eolit,you(ms)~ did~ make~ GO.UP(Verb)
sfitm,I~ did~ much~ DIRECT(Verb) ~them(m)
xrf,they~ did~ TURN.ASIDE(Verb)
faklm,and~ I~ will~ much~ FINISH(Verb) ~them(m)
enihe,!(fs)~ make~ REST(Verb)
efsat,you(ms)~ did~ make~ GO.OUT(Verb)
ihre,he~ will~ FLARE.UP(Verb)
aleif,Elohiym ~him
lomk,to~ PEOPLE ~you(ms)
fenhm,and~ !(ms)~ be~ COMFORT(Verb)
mhrfn,from~ FLAMING.WRATH
flkltm,and~ to~ >~ much~ FINISH(Verb) ~them(m)
berim,in~ HILL ~s
fnhlf,and~ they~ did~ INHERIT(Verb)
lzrokm,to~ SEED ~you(mp)
ncbot,you(ms)~ did~ be~ SWEAR(Verb)
lomf,to~ PEOPLE ~him
obriem,OTHER.SIDE ~them(m)
elht,the~ SLAB ~s
hrft,ENGRAVE(Verb) ~ed(ms)
mktb,THING.WRITTEN
femktb,and~ the~ THING.WRITTEN
felht,and~ the~ SLAB ~s
onft,>~ ANSWER(Verb)
hlfce,534 DEFEAT
gbfre,BRAVERY
midf,from~ HAND ~s2 ~him
fmhlt,and~ DANCE ~s
eogl,the~ BULLOCK
fizr,and~ he~ will~ DISPERSE(Verb)
fijhn,and~ he~ will~ GRIND(Verb)
ficrp,and~ he~ will~ CREMATE(Verb)
faclkef,and~ I~ will~ make~ THROW.OUT(Verb) ~him
etprqf,!(mp)~ self~ TEAR.OFF(Verb)
bqmiem,in~ RISE(Verb) ~ing(mp) ~them(m)
lcmse,to~ DERISION
lcor,to~ GATE
mcor,from~ GATE
fcfbf,and~ !(mp)~ TURN.BACK(Verb)
alpi,THOUSAND ~s
kclct,like~ THREE
fbahif,and~ in~ BROTHER ~him
bbnf,in~ SON ~him
idkm,HAND ~you(mp)
hjatkm,FAILURE ~you(mp)
hjatm,you(mp)~ did~ FAIL(Verb)
hja,he~ did~ FAIL(Verb)
ktbt,you(ms)~ did~ WRITE(Verb)
mxprk,from~ SCROLL ~you(ms)
mhni,!(ms)~ WIPE.AWAY(Verb) ~me
mxpri,from~ SCROLL ~me
amhnf,I~ will~ WIPE.AWAY(Verb) ~him
fpqdti,and~ I~ did~ REGISTER(Verb)
pqdi,>~ REGISTER(Verb) ~me
nhe,!(ms)~ GUIDE(Verb)
figp,and~ he~ will~ SMITE(Verb)
fgrcti,and~ I~ did~ much~ CAST.OUT(Verb)
bqrbk,in~ INSIDE ~you(ms)
odif,TRAPPINGS ~him
ctf,they~ did~ SET.DOWN(Verb)
fitablf,and~ they(m)~ will~ self~ MOURN(Verb)
odik,TRAPPINGS ~you(ms)
fklitik,and~ I~ will~ much~ FINISH(Verb) ~you(ms)
rgo,MOMENT
hfrb,Hhorev
odim,TRAPPINGS ~them(m)
fitnslf,and~ they(m)~ will~ self~ DELIVER(Verb)
fqra,and~ he~ did~ CALL.OUT(Verb)
febijf,and~ they~ did~ make~ STARE(Verb)
fnsbf,and~ they~ did~ be~ STAND.UP(Verb)
iqfmf,they(m)~ will~ RISE(Verb)
fomd,and~ he~ did~ STAND(Verb)
kba,like~ >~ COME(Verb)
fqm,and~ he~ did~ RISE(Verb)
nfn,Nun
fmcrtf,and~ much~ MINISTER(Verb) ~ing(ms) ~him
idotik,I~ did~ KNOW(Verb) ~you(ms)
efdotni,you(ms)~ did~ make~ KNOW(Verb) ~me
eol,!(ms)~ make~ GO.UP(Verb)
fadok,and~ I~ will~ KNOW(Verb) ~you(ms)
efdoni,!(ms)~ make~ KNOW(Verb) ~me
fenhti,556 and~ I~ did~ make~ REST(Verb)
tolnf,you(ms)~ will~ make~ GO.UP(Verb) ~us
elkim,WALK(Verb) ~ing(mp)
fomk,and~ PEOPLE ~you(ms)
fnplinf,and~ we~ did~ be~ BE.DISTINCT(Verb)
fbme,and~ in~ WHAT
kbdk,ARMAMENT ~you(ms)
erani,!(ms)~ make~ SEE(Verb) ~me
arhm,I~ will~ much~ HAVE.COMPASSION(Verb)
frhmti,and~ I~ did~ much~ HAVE.COMPASSION(Verb)
ahn,I~ will~ PROVIDE.PROTECTION(Verb)
fhnti,and~ I~ did~ PROVIDE.PROTECTION(Verb)
jfbi,FUNCTIONAL ~me
aobir,I~ will~ make~ CROSS.OVER(Verb)
irani,he~ will~ SEE(Verb) ~me
fckti,and~ I~ did~ FENCE.AROUND(Verb)
bnqrt,in~ FISSURE
fcmtik,and~ I~ did~ PLACE(Verb) ~you(ms)
fpni,564 and~ FACE ~s ~me
frait,563 and~ you(ms)~ did~ SEE(Verb)
cbrt,you(ms)~ did~ CRACK(Verb)
eracnim,like~ FIRST ~s
fktbti,and~ I~ did~ WRITE(Verb)
kracnim,like~ FIRST ~s
lbqr,to~ the~ MORNING
irof,they(m)~ will~ FEED(Verb)
fipxl,and~ he~ will~ SCULPT(Verb)
fitisb,and~ he~ will~ self~ STATION(Verb)
fhnfn,and~ PROTECTIVE
rhfm,566 COMPASSIONATE
fhjae,and~ FAILURE
fpco,and~ OFFENSE
nsr,PRESERVE(Verb) ~ing(ms)
fnhltnf,and~ you(ms)~ did~ INHERIT(Verb) ~us
flhjatnf,and~ to~ FAILURE ~us
lofnnf,to~ TWISTEDNESS ~us
fxlht,and~ you(ms)~ will~ FORGIVE(Verb)
nbraf,they~ did~ be~ SHAPE(Verb)
nplat,be~ PERFORM(Verb) ~ing(fp)
msfk,much~ DIRECT(Verb) ~ing(ms) ~you(ms)
lifcb,to~ SETTLE(Verb) ~ing(ms)
tkrtfn,you(mp)~ will~ CUT(Verb) ~must
acrif,GROVE ~s ~him
tcbrfn,you(mp)~ will~ much~ CRACK(Verb) ~must
msbtm,MONUMENT ~s ~them(m)
ttsfn,you(mp)~ will~ BREAK.DOWN(Verb) ~must
mzbhtm,ALTAR ~s ~them(m)
mzbhf,ALTAR ~him
fzbhf,and~ they~ did~ SACRIFICE(Verb)
fznf,and~ they~ did~ BE.A.HARLOT(Verb)
aleien,Elohiym ~them(f)
feznf,and~ they~ did~ make~ BE.A.HARLOT(Verb)
lbnik,to~ SON ~s ~you(ms)
mbntif,from~ DAUGHTER ~s ~him
fce,and~ RAM
tzkr,you(ms)~ will~ be~ REMEMBER(Verb)
fpjr,and~ BURSTING
fbqsir,and~ in~ HARVEST
bhric,in~ PLOWING
tqfpt,CIRCUIT
eaxip,the~ GATHERING
boltk,in~ >~ GO.UP(Verb) ~you(ms)
ihmd,he~ will~ CRAVE(Verb)
ferhbti,and~ I~ did~ make~ WIDEN(Verb)
afric,I~ will~ make~ POSSESS(Verb)
tchj,you(ms)~ will~ SLAY(Verb)
krti,I~ did~ CUT(Verb)
bdbrf,584 in~ >~ much~ SPEAK(Verb) ~him
qrn,he~ did~ HAVE.HORNS(Verb)
brdtf,in~ >~ GO.DOWN(Verb) ~him
brdt,in~ >~ GO.DOWN(Verb)
mgct,from~ >~ DRAW.NEAR(Verb)
bode,in~ the~ COMPANY
encaim,the~ CAPTAIN ~s
ngcf,they~ did~ be~ DRAW.NEAR(Verb)
mxfe,HOOD
satf,>~ GO.OUT(Verb) ~him
emxfe,the~ HOOD
ixir,he~ will~ make~ TURN.ASIDE(Verb)
fbba,and~ in~ >~ COME(Verb)
loct,to~ >~ DO(Verb)
mcbtikm,SETTLING ~s ~you(mp)
tborf,you(mp)~ will~ much~ BURN(Verb)
ibiae,he~ will~ make~ COME(Verb) ~her
ndib,WILLING
fbcmim,and~ in~ SWEET.SPICE ~s
lapfd,to~ the~ EPHOD
omdif,PILLAR ~s ~him
brihf,WOOD.BAR ~s ~him
qrcif,BOARD ~s ~him
qrxif,HOOK ~s ~him
mkxef,ROOF.COVERING ~him
emxk,the~ CANOPY
epnim,the~ FACE ~s
enhct,the~ COPPER
qloi,SLING ~s
mitriem,STRING ~s ~them(m)
flbgdi,and~ to~ GARMENT ~s
lmlakt,to~ BUSINESS
ndbe,she~ did~ OFFER.WILLINGLY(Verb)
ncaf,he~ did~ LIFT.UP(Verb) ~him
tnfpt,WAVING
enip,he~ did~ make~ WAVE(Verb)
fkfmz,and~ ARM.BAND
fjbot,and~ RING
fnzm,and~ ORNAMENTAL.RING
hh,NOSE.RING
mlakt,BUSINESS
mjfe,YARN
jff,they~ did~ SPIN(Verb)
bidie,in~ HAND ~s ~her
hkmt,SKILLED.ONE
atne,AT ~them(f)
fencam,and~ the~ CAPTAIN ~s
flcmn,and~ to~ OIL
ecmn,the~ OIL
ebcm,the~ SWEET.SPICE
btbfne,in~ INTELLIGENCE
flhcb,and~ to~ >~ THINK(Verb)
faeliab,and~ Ahaliyav
flefrt,and~ to~ >~ make~ THROW(Verb)
fhcbi,and~ THINK(Verb) ~ing(mp)
farg,and~ BRAID(Verb) ~ing(ms)
fbcc,and~ in~ the~ LINEN
btflot,in~ KERMES
fbargmn,and~ in~ the~ PURPLE
btklt,596 in~ the~ BLUE
frqm,595 and~ EMBROIDER(Verb) ~ing(ms)
ftbfne,and~ INTELLIGENCE
lqrbe,to~ >~ COME.NEAR(Verb)
mmlaktf,from~ BUSINESS ~him
eocim,the~ DO(Verb) ~ing(mp)
ehkmim,the~ SKILLED.ONE ~s
lmlake,to~ the~ BUSINESS
mdi,from~ SUFFICIENT
mrbim,make~ INCREASE.IN.NUMBER(Verb) ~ing(mp)
mebia,from~ >~ make~ COME(Verb)
ltrfmt,to~ OFFERING
fiobirf,and~ they(m)~ will~ make~ CROSS.OVER(Verb)
feftr,and~ >~ make~ LEAVE.BEHIND(Verb)
dim,SUFFICIENT ~them(m)
femlake,and~ the~ BUSINESS
boci,in~ DO(Verb) ~ing(mp)
fihbr,and~ he~ will~ much~ COUPLE(Verb)
lhbr,to~ >~ much~ COUPLE(Verb)
idt,HAND ~s
tfamm,BE.DOUBLE(Verb) ~ing(mp)
brihi,WOOD.BAR ~s
ebrih,the~ WOOD.BAR
fisp,and~ he~ will~ much~ OVERLAY(Verb)
jbotm,RING ~s ~them(m)
spe,he~ did~ much~ OVERLAY(Verb)
fispm,and~ he~ will~ much~ OVERLAY(Verb) ~them(m)
raciem,HEAD ~s ~them(m)
fspe,and~ he~ did~ much~ OVERLAY(Verb)
omfdif,PILLAR ~s ~him
fispef,and~ he~ will~ much~ OVERLAY(Verb) ~him
qsfftf,EXTREMITY ~s ~him
eqcft,the~ JUG ~s
mnqitif,SACRIFICIAL.BOWL ~s ~him
kptif,PALM ~s ~him
emhtt,the~ FIRE.PAN ~s
emzlgt,the~ FORK ~s
emzrqt,the~ SPRINKLING.BASIN ~s
eioim,the~ SHOVEL ~s
exirt,the~ POT ~s
hsif,HALF ~him
krkbf,OUTER.RIM ~him
lmkbr,to~ GRATE
eqsft,the~ EXTREMITY ~s
barbo,in~ FOUR
esbat,the~ MUSTER(Verb) ~ing(fp)
eomfdim,the~ PILLAR ~s
omfdiem,PILLAR ~s ~them(m)
flpat,and~ to~ EDGE
fhcfqiem,and~ BINDER ~s ~them(m)
ektp,the~ SHOULDER.PIECE
fspfi,and~ METAL.PLATING
lomdim,to~ the~ PILLAR ~s
feadnim,and~ the~ FOOTING ~s
brhb,in~ WIDTH
fqfme,and~ HEIGHT
fmxk,and~ CANOPY
fomdiem,and~ PILLAR ~s ~them(m)
flhsr,and~ to~ COURTYARD
eitdt,the~ TENT.PEG ~s
mckn,DWELLING
pqfdi,REGISTER(Verb) ~ed(mp)
fbslal,and~ Betsaleyl
fbtflot,and~ in~ the~ KERMES
falp,and~ THOUSAND
lcc,to~ SIX
ladn,to~ the~ FOOTING
lmat,to~ HUNDRED
lsqt,to~ >~ POUR.DOWN(Verb)
fhcq,and~ he~ did~ much~ ATTACH(Verb)
lomfdim,to~ the~ PILLAR ~s
ffim,and~ PEG ~s
emaft,the~ HUNDRED ~s
ealp,the~ THOUSAND
falpim,and~ THOUSAND ~s2
crd,BRAIDED.WORK
feargmn,and~ the~ PURPLE
fbtfk,and~ in~ MIDST
ptilm,CORD ~s
fqss,and~ he~ did~ SLICE.OFF(Verb)
phi,WIRE ~s
firqof,and~ they(m)~ will~ HAMMER(Verb)
mptht,be~ much~ OPEN(Verb) ~ing(fp)
jfri,ROW ~s
bmlatm,in~ SETTING ~s ~them(m)
mfxbt,be~ make~ GO.AROUND(Verb) ~ing(fp)
fitnm,and~ they(m)~ will~ GIVE(Verb) ~them(m)
mjbotif,RING ~s ~him
fpi,and~ MOUTH
rmfni,POMEGRANATE ~s
ermnim,the~ POMEGRANATE ~s
epomnim,the~ BELL ~s
pomni,BELL ~s
frmn,and~ POMEGRANATE
ebd,the~ STRAND
emgbot,the~ HEADDRESS
pari,BONNET ~s
eabnj,the~ SASH
fiktbf,and~ they(m)~ will~ WRITE(Verb)
fadnif,and~ FOOTING ~s ~him
ethcim,the~ BADGER ~s
emadmim,the~ be~ much~ BE.RED(Verb) ~ing(mp)
ofrt,SKIN ~s
emorke,the~ RANK
nrt,LAMP ~s
fitdtie,and~ TENT.PEG ~s ~her
mitrif,STRING ~s ~him
omdie,PILLAR ~s ~her
tqim,643 you(ms)~ will~ make~ RISE(Verb)
fxkt,and~ you(ms)~ did~ FENCE.AROUND(Verb)
feolit,and~ you(ms)~ did~ make~ GO.UP(Verb)
orkf,ARRANGEMENT ~him
forkt,and~ you(ms)~ did~ ARRANGE(Verb)
lqjrt,to~ INCENSE.SMOKE
fken,and~ he~ did~ much~ ADORN(Verb)
lkent,to~ ADMINISTRATION
mchtm,>~ SMEAR(Verb) ~them(m)
efqm,he~ did~ be~ make~ RISE(Verb)
brihif,WOOD.BAR ~s ~him
ork,ARRANGEMENT
fiqjr,and~ he~ will~ make~ BURN.INCENSE(Verb)
fbqrbtm,and~ in~ >~ COME.NEAR(Verb) ~them(m)
flmzbh,and~ to~ the~ ALTAR
fkbfd,and~ ARMAMENT
mxoiem,JOURNEY ~s ~them(m)
ixof,they(m)~ will~ JOURNEY(Verb)
fbeolft,and~ in~ >~ be~ GO.UP(Verb)
eoltf,>~ be~ GO.UP(Verb) ~him
qrbnkm,DONATION ~you(mp)
tqribf,you(mp)~ will~ make~ COME.NEAR(Verb)
qrbn,DONATION
iqrib,he~ will~ make~ COME.NEAR(Verb)
lrsnf,to~ SELF-WILL ~him
iqribnf,he~ will~ make~ COME.NEAR(Verb) ~him
qrbnf,DONATION ~him
fnrse,and~ he~ did~ be~ ACCEPT(Verb)
feqribf,and~ they~ did~ make~ COME.NEAR(Verb)
fchj,and~ he~ did~ SLAY(Verb)
lnthie,to~ PIECE ~s ~her
fnth,and~ he~ did~ much~ DIVIDE.INTO.PIECES(Verb)
fepcij,and~ he~ did~ make~ STRIP.OFF(Verb)
osim,TREE ~s
forkf,and~ they~ did~ ARRANGE(Verb)
epdr,the~ SUET
erac,the~ HEAD
enthim,the~ PIECE ~s
irhs,he~ will~ BATHE(Verb)
fqrbf,and~ INSIDE ~him
ekcbim,the~ SHEEP ~s
fork,and~ he~ did~ ARRANGE(Verb)
pdrf,SUET ~him
feqrib,and~ he~ did~ make~ COME.NEAR(Verb)
fekroim,and~ the~ LEG ~s2
feqrb,and~ the~ INSIDE
etrim,the~ TURTLEDOVE ~s
qir,WALL
fnmse,and~ he~ did~ be~ DRAIN(Verb)
fmlq,and~ he~ did~ SNAP.OFF(Verb)
edcn,the~ FATNESS
feclik,and~ he~ did~ make~ THROW.OUT(Verb)
bnste,650 in~ PLUMAGE ~her
mratf,CROP ~him
fexir,and~ he~ did~ make~ TURN.ASIDE(Verb)
ibdil,he~ will~ make~ SEPARATE(Verb)
bknpif,in~ WING ~s ~him
fcxo,and~ he~ did~ much~ SPLIT.IN.TWO(Verb)
fnpc,and~ SOUL
azkrte,MEMORIAL ~her
lbnte,to~ FRANKINCENSE ~her
fmcmne,and~ from~ OIL
mxlte,from~ FLOUR ~her
qmsf,HANDFUL ~him
fqms,and~ he~ did~ GRASP(Verb)
maci,651 from~ FIRE.OFFERING ~s
fenftrt,and~ the~ be~ LEAVE.BEHIND(Verb) ~ing(fs)
hlft,PIERCED.BREAD ~s
mape,BAKED
mse,UNLEAVENED.BREAD
blfle,MIX(Verb) ~ed(fs)
qrbnk,DONATION ~you(ms)
emhbt,the~ PAN
ptim,FRAGMENT ~s
ptft,>~ CRUMBLE(Verb)
mrhct,BOILING.POT
mnht,DEPOSIT
fegice,and~ he~ did~ make~ DRAW.NEAR(Verb) ~her
feqribe,and~ he~ did~ make~ COME.NEAR(Verb) ~her
ferim,and~ he~ did~ make~ RAISE.UP(Verb)
tqjirf,you(mp)~ will~ make~ BURN.INCENSE(Verb)
mnhtk,DEPOSIT ~you(ms)
tcbit,you(ms)~ will~ make~ CEASE(Verb)
tmlh,you(ms)~ will~ SEASON(Verb)
bmlh,in~ the~ SALT
bkfrik,FIRSTFRUIT ~s ~you(ms)
krml,PLANTATION
qlfi,DRY(Verb) ~ed(ms)
bkfrim,FIRSTFRUIT ~s
mgrce,from~ BEATEN.GRAIN ~her
mqrib,make~ COME.NEAR(Verb) ~ing(ms)
eclmim,the~ OFFERING.OF.RESTITUTION ~s
ixirne,he~ will~ make~ TURN.ASIDE(Verb) ~her
eklift,the~ KIDNEY ~s
ekxlim,the~ HIP ~s
olen,UPON ~them(f)
hlbi,Mosheh
feqjirf,and~ they~ did~ make~ BURN.INCENSE(Verb)
kcb,SHEEP
eose,the~ SPINE
tmime,WHOLE
ealie,the~ RUMP
hlbf,FAT ~him
feqjirm,and~ he~ did~ make~ BURN.INCENSE(Verb) ~them(m)
mene,from~ THEY(f)
maht,from~ UNIT
tocine,they(f)~ will~ be~ DO(Verb)
bcgge,in~ ERROR
thja,she~ will~ FAIL(Verb)
lhjat,to~ FAILURE
hjatf,FAILURE ~him
lacmt,to~ GUILTINESS
ihja,he~ will~ FAIL(Verb)
emcih,the~ SMEARED
febia,and~ he~ did~ make~ COME(Verb)
feze,and~ he~ did~ make~ SPATTER(Verb)
asbof,FINGER ~him
fjbl,and~ he~ did~ DIP(Verb)
qrnft,HORN ~s
ehjat,the~ FAILURE
ifrm,they(m)~ will~ make~ RAISE.UP(Verb)
fprcf,and~ DUNG ~him
icrp,he~ will~ be~ CREMATE(Verb)
fcrp,and~ he~ did~ CREMATE(Verb)
fefsia,and~ he~ did~ make~ GO.OUT(Verb)
facmf,659 and~ they~ did~ BE.GUILTY(Verb)
fnolm,and~ he~ did~ be~ BE.OUT.OF.SIGHT(Verb)
icgf,they(m)~ will~ GO.ASTRAY(Verb)
fnfdoe,and~ she~ did~ be~ KNOW(Verb)
fnxlh,and~ he~ did~ be~ FORGIVE(Verb)
lpr,to~ BULL
crp,he~ did~ CREMATE(Verb)
efdo,he~ did~ be~ make~ KNOW(Verb)
ichj,he~ will~ SLAY(Verb)
ecoir,the~ HAIRY.GOAT
basbof,in~ FINGER ~him
mhjatf,from~ FAILURE ~him
khlb,like~ FAT
iqjir,he~ did~ make~ BURN.INCENSE(Verb)
mmsft,from~ DIRECTIVE ~s
bocte,in~ >~ DO(Verb) ~her
coirt,HAIRY.GOAT
dme,BLOOD ~her
mdme,from~ BLOOD ~her
efxr,he~ did~ be~ make~ TURN.ASIDE(Verb)
hlbe,FAT ~her
ibiane,he~ will~ make~ COME(Verb) ~her
ibia,he~ will~ make~ COME(Verb)
kbc,SHEEP
aci,FIRE.OFFERING ~s
ekcb,the~ SHEEP
ifxr,he~ will~ be~ make~ TURN.ASIDE(Verb)
ofnf,TWISTEDNESS ~him
igid,he~ will~ make~ BE.FACE.TO.FACE(Verb)
fcmoe,and~ she~ did~ HEAR(Verb)
bnblt,in~ CARCASS
jmae,DIRTY
ijma,he~ will~ BE.DIRTY(Verb)
jmatf,DIRTY ~him
bjmat,in~ DIRTY
igo,he~ will~ TOUCH(Verb)
laht,to~ UNIT
ibja,he~ will~ much~ UTTER(Verb)
leijib,to~ >~ make~ DO.WELL(Verb)
bcptim,in~ LIP ~s2
lbja,to~ >~ much~ UTTER(Verb)
tcbo,she~ will~ be~ SWEAR(Verb)
fetfde,and~ he~ did~ self~ THROW.THE.HAND(Verb)
iacm,he~ will~ BE.GUILTY(Verb)
kcbe,SHEEP
acmf,GUILT ~him
ifne,DOVE
trim,TURTLEDOVE ~s
di,SUFFICIENT
tgio,she~ will~ make~ TOUCH(Verb)
orpf,NECK ~him
racfne,FIRST
